#OTU ID					10283.LS.12.28.2011	10283.LS.4.3.2012	10283.LS.8.7.2012	10283.LS.11.6.2012	10283.LS.1.26.2013	10283.LS.2.8.2013	10283.LS.2.25.2013	10283.LS.3.24.2013	10283.LS.4.7.2013	10283.LS.4.29.2013	10283.LS.7.14.2013	10283.LS.9.3.2013	10283.LS.9.24.2013	10283.LS.11.10.2013	10283.LS.12.14.2013	10283.LS.1.19.2014	10283.LS.2.17.2014	10283.LS.3.23.2014	10283.LS.5.4.2014	10283.LS.6.16.2014	10283.LS.7.27.2014	10283.LS.8.22.2014	10283.LS.8.25.2014	10283.LS.9.28.2014	10283.LS.11.16.2014	10283.LS.12.7.2014	10283.LS.12.17.2014	10283.LS.1.6.2015	10283.LS.1.14.2015	10283.LS.1.25.2015	10283.LS.2.8.2015	10283.LS.2.23.2015	10283.LS.3.8.2015	10283.LS.3.24.2015	10283.LS.4.4.2015	10283.LS.4.19.2015	10283.LS.5.3.2015	10283.LS.5.31.2015	10283.LS.6.14.2015
k__Bacteria	p__Cyanobacteria	c__4C0d-2	o__YS2	f__	6.67E-05	0	0.0002	0.000266667	0.0012	0.000466667	0	0.000933333	0.000733333	6.67E-05	6.67E-05	0	6.67E-05	6.67E-05	0	0	0	6.67E-05	0	0.004266667	0.008533333	0.002866667	0.000266667	0.0072	0.001933333	0.006733333	0.0038	0.0004	0.0026	0.002466667	0.000866667	0.001533333	0.000133333	0.0008	0.001	0.000866667	0.001066667	0.0002	0.0002
k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Chlorophyta	f__	6.67E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Streptophyta	f__	0	0.0004	0	6.67E-05	0	0	0	0	0.000133333	0	0	6.67E-05	0	0.000533333	0	0	0	0	6.67E-05	0	0	0	0	0	0	6.67E-05	0.0004	6.67E-05	0	6.67E-05	0	0	0.000133333	6.67E-05	6.67E-05	0	0	0.000133333	0.001266667
k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae	0	0	0	0	0	6.67E-05	0	0	0	0	6.67E-05	0	0	0	0	0	6.67E-05	0	0	0	0	0	0	6.67E-05	0	0	0	0	0	0	0	0	0	6.67E-05	0	0	6.67E-05	0	0
k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Paenibacillaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.67E-05	0	0	0	0	0	0	0
k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Planococcaceae	0	0	6.67E-05	0	6.67E-05	0	0	0	6.67E-05	6.67E-05	0	0	0	0	0	0	0	0	0	0	6.67E-05	0	0	0	6.67E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	0	0	0	0	0	0.0006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.67E-05	0
k__Bacteria	p__Firmicutes	c__Bacilli	o__Gemellales	f__Gemellaceae	0.0004	0.000133333	6.67E-05	6.67E-05	6.67E-05	0.000666667	0.001133333	0.000133333	0.0014	0.000133333	0.000266667	0.000133333	0.000133333	0	0	0.000466667	0.0004	0	0.000466667	0	0.0004	0.000133333	0.000133333	0	0.0002	6.67E-05	0.000133333	6.67E-05	6.67E-05	0	0	0	6.67E-05	0.0002	6.67E-05	0.0004	6.67E-05	0.000133333	0.001266667
k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Carnobacteriaceae	0	0	0.000133333	0	0	0	0	0	0	0	0	6.67E-05	6.67E-05	0	0	0	0	6.67E-05	0	0	6.67E-05	0	0	0	0	0	6.67E-05	0	0	6.67E-05	0	0	0	0.000333333	0	0.000333333	6.67E-05	0	0.0006
k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	0	0	6.67E-05	0.000133333	6.67E-05	6.67E-05	0	0	0	0	6.67E-05	0	0	0	0	0	0	0	0	0.0002	0	0	6.67E-05	0	0	0	0	0	0	0	0	0.000133333	0	6.67E-05	0	0	6.67E-05	0.000133333	0
k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	0.0002	0.000333333	0.0004	0	0	0	6.67E-05	0	6.67E-05	6.67E-05	0	0	6.67E-05	0	0	0	0	6.67E-05	6.67E-05	0	0	6.67E-05	0	0	0	0	0	0.0002	0.000266667	0	6.67E-05	0	0	0	0	0	0	0	0
k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Leuconostocaceae	0	0	6.67E-05	0	0	0	0	6.67E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.67E-05	0	0	0	0	0	6.67E-05	0	0	0	0	0	0
k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	0.0084	0.014133333	0.004333333	0.0054	0.001733333	0.001333333	0.002066667	0.000666667	0.001266667	0.001733333	0.0006	0.000266667	0.001466667	0.003933333	0.000133333	0.000666667	0.000133333	0.0002	0.001	0	0.0006	0.001	0.000666667	0.001066667	0.001	0.0002	0.0054	0.0016	0.000533333	0.0002	0.002133333	0.000266667	0.001	0.000133333	0.000533333	0.000266667	0.000533333	0.000133333	0.001066667
k__Bacteria	p__Firmicutes	c__Bacilli	o__Turicibacterales	f__Turicibacteraceae	0	6.67E-05	6.67E-05	0	0	0	0	0	0	0	0	6.67E-05	0	0	0	0	0	0	0	6.67E-05	0	0	0	0	0	0	0	0	0	0	0.000133333	0	0	0	0	0	0	6.67E-05	0
k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__	0.115533333	0.027466667	0.0424	0.047333333	0.031533333	0.032666667	0.028866667	0.043933333	0.0304	0.035333333	0.025733333	0.0316	0.028866667	0.047733333	0.038333333	0.033533333	0.039866667	0.0582	0.032	0.0336	0.0396	0.078466667	0.053666667	0.060333333	0.042266667	0.075733333	0.0588	0.03	0.043133333	0.044933333	0.067266667	0.0812	0.0732	0.0648	0.1004	0.039866667	0.085266667	0.051466667	0.090333333
k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Christensenellaceae	0.0194	0.000733333	0.000666667	0.004333333	0.0052	0.004733333	0.01	0.000666667	0.000666667	0.000866667	0.001	0.000733333	0.001866667	0.001	0.007066667	0.001066667	0.0128	0.0056	0.008533333	0.001533333	0.0046	0.0012	0.0048	0.000933333	0.000866667	0.0024	0.002533333	0.0042	0.019866667	0.0082	0.010066667	0.006266667	0.005733333	0.013466667	0.003666667	0.019133333	0.0034	0.007533333	0.006733333
k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Clostridiaceae	0.0014	0.009666667	0.011533333	0.056266667	0.0112	0.016066667	0.021866667	0.012	0.026133333	0.017933333	0.004866667	0.044	0.053733333	0.0226	0.023666667	0.016866667	0.006533333	0.008866667	0.021066667	0.0172	0.008933333	0.011866667	0.006466667	0.014533333	0.022066667	0.010266667	0.015933333	0.015066667	0.034666667	0.022	0.0238	0.007666667	0.011933333	0.011	0.0046	0.007466667	0.005333333	0.006466667	0.006666667
k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Dehalobacteriaceae	0.000666667	0.001	0.0002	0.0008	0.000266667	6.67E-05	0	6.67E-05	0.000133333	0.0002	0.000133333	0.0002	0	0.000133333	0.0002	0.0002	0.0002	0.0004	0.000466667	0.000133333	0.000133333	0.000333333	0	0	0	6.67E-05	0	0.000133333	0	0.000333333	0.0002	0.000266667	0	6.67E-05	0.0002	0.0002	6.67E-05	0.000266667	6.67E-05
k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__EtOH8	0	0	0	0	0.000133333	6.67E-05	0	0	6.67E-05	0	0	0	0	0	0.000133333	0	0	0	6.67E-05	0	0	0	0	0	0	0	6.67E-05	0	0.000266667	6.67E-05	0.000333333	0	0	0.000133333	0	0	0	0.000133333	0
k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Eubacteriaceae	0	0.000133333	6.67E-05	6.67E-05	6.67E-05	0	0	6.67E-05	0	0	0	0	6.67E-05	0	0	6.67E-05	0.0002	0	6.67E-05	0	6.67E-05	0	6.67E-05	0	0	6.67E-05	0	0	0	0	0	6.67E-05	0	6.67E-05	6.67E-05	0	6.67E-05	0	0
k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	0.1464	0.3324	0.3632	0.2238	0.131	0.158333333	0.1226	0.1676	0.149066667	0.196866667	0.2182	0.199	0.233933333	0.207266667	0.1482	0.148666667	0.1368	0.153733333	0.1706	0.203333333	0.186	0.315866667	0.1598	0.2488	0.2946	0.184466667	0.185933333	0.135	0.155	0.148333333	0.2024	0.284333333	0.095	0.191466667	0.2808	0.155933333	0.301333333	0.200266667	0.241666667
k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Peptococcaceae	0.000333333	6.67E-05	0.0002	0.0002	0.001066667	0.0004	0.000333333	0.0012	0.000466667	0.000733333	0.0002	0.0008	0.000266667	0.0008	6.67E-05	0	0	0.000266667	0	0.0006	0	0.000133333	0	0.000266667	0.000266667	6.67E-05	0.000133333	0	0.000133333	0	0.000133333	6.67E-05	0	0	0.000266667	0	0	0	6.67E-05
k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Peptostreptococcaceae	6.67E-05	0	0.000933333	0.0006	0.0002	6.67E-05	0.0004	0	0	0.0006	0.000133333	6.67E-05	0.0004	0	0	6.67E-05	0.0002	0	0.000133333	0.0002	6.67E-05	0.0004	0.000266667	0	0	0	0	0.000466667	0.000266667	6.67E-05	0	6.67E-05	0.000466667	0.0002	0	0	0	6.67E-05	0
k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	0.2332	0.316866667	0.295866667	0.348466667	0.262733333	0.3036	0.332066667	0.229466667	0.235733333	0.267733333	0.327733333	0.413066667	0.3838	0.2898	0.281066667	0.164266667	0.2106	0.2732	0.2776	0.1858	0.236	0.319866667	0.2686	0.273066667	0.2604	0.334733333	0.163066667	0.185933333	0.253533333	0.262933333	0.3114	0.2902	0.333666667	0.2684	0.354666667	0.234066667	0.2698	0.295533333	0.228533333
k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Veillonellaceae	0.026533333	0.109133333	0.008666667	0.004	0.009533333	0.004533333	0.003066667	0.003133333	0.0042	0.005066667	0.0146	0.0046	0.005333333	0.0088	0.011466667	0.001133333	0.0134	0.009333333	0.012866667	0.0056	0.009333333	0.006466667	0.014466667	0.008066667	0.006933333	0.009	0.003866667	0.009	0.0024	0.003933333	0.004333333	0.006733333	0.006066667	0.009666667	0.009666667	0.007066667	0.0068	0.019133333	0.006933333
k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__[Mogibacteriaceae]	0.004666667	0.000466667	0.0006	0.000133333	0.0002	0.0006	0.002933333	0.000266667	0.001133333	0.000266667	6.67E-05	0.0002	0	0.0002	0.000133333	0.000133333	0.001266667	0.0002	0.000666667	0.0002	0.000533333	0.000466667	0.001066667	0.0002	0.0004	0.000866667	0.000133333	0.000533333	0.0006	0.0002	0.000133333	0.0002	0.0002	0.0008	0.000333333	0.001333333	0.0002	0.000133333	0.000666667
k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__[Tissierellaceae]	0.008133333	0.000266667	0.000133333	6.67E-05	0	0.002666667	0.005333333	0.000533333	0.0054	0.000666667	6.67E-05	0	0.000133333	0	6.67E-05	0.000333333	0.002666667	6.67E-05	0.0016	6.67E-05	0.000666667	0.000133333	0.001533333	0.000133333	0.001266667	0.0002	0.0002	0.0008	0.000133333	6.67E-05	0	0	0.000266667	0.004666667	0	0.004066667	0.001333333	0.000866667	0.008333333
k__Bacteria	p__Firmicutes	c__Clostridia	o__SHA-98	f__	0.000133333	0	0	0	0	6.67E-05	6.67E-05	6.67E-05	0	0	0	0	0	0	0	0	0.000333333	0	6.67E-05	6.67E-05	0	6.67E-05	0.000133333	6.67E-05	0	0.000133333	0	0	0	6.67E-05	0	6.67E-05	6.67E-05	6.67E-05	0	0	6.67E-05	0	6.67E-05
k__Bacteria	p__Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	0.017333333	0.032066667	0.027866667	0.009733333	0.017733333	0.013466667	0.007666667	0.0012	0.004533333	0.007333333	0.012466667	0.014666667	0.026466667	0.011466667	0.0122	0.015933333	0.015133333	0.019	0.022133333	0.007	0.009333333	0.014133333	0.011266667	0.008933333	0.0094	0.0262	0.002866667	0.007	0.0082	0.0074	0.004266667	0.014666667	0.024666667	0.012733333	0.022	0.006933333	0.021733333	0.006266667	0.021466667
k__Bacteria	p__Fusobacteria	c__Fusobacteriia	o__Fusobacteriales	f__Fusobacteriaceae	0.010266667	0.0008	6.67E-05	6.67E-05	0	0.0034	0.011466667	0.0008	0.013933333	0.000866667	0.0004	0.000333333	0.000266667	0.0002	0.000333333	0.0038	0.008733333	0.000133333	0.002866667	0.0002	0.001466667	6.67E-05	0.000533333	0.000133333	0.0026	0.0002	0.000933333	0.003133333	0.000333333	0.000866667	0.000266667	0	0	0.003	0	0.012666667	0.0012	0.0004	0.0028
k__Bacteria	p__Fusobacteria	c__Fusobacteriia	o__Fusobacteriales	f__Leptotrichiaceae	0	0	0	0	6.67E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
