sample.id,sample.date,day,o__Methanobacteriales,o__Actinomycetales,o__Bifidobacteriales,o__Coriobacteriales,o__Bacteroidales,o__Flavobacteriales,o__[Saprospirales],o__Ignavibacteriales,o__YS2,o__Chlorophyta,o__Streptophyta,o__Bacillales,o__Gemellales,o__Lactobacillales,o__Turicibacterales,o__Clostridiales,o__SHA-98,o__Erysipelotrichales,o__Fusobacteriales,o__Victivallales,o__RF32,o__Rhizobiales,o__Rickettsiales,o__Sphingomonadales,o__,o__Burkholderiales,o__Neisseriales,o__Rhodocyclales,o__Desulfovibrionales,o__Myxococcales,o__Campylobacterales,o__Aeromonadales,o__Cardiobacteriales,o__Enterobacteriales,o__Legionellales,o__Pasteurellales,o__Pseudomonadales,o__Xanthomonadales,o__Synergistales,o__,o__RF39,o__ML615J-28,o__Verrucomicrobiales
X10283.LS.12.7.2014,2014-12-07,25,0.002533333,6.67e-05,0.000133333,0.006066667,0.258733333,0,0,0,0.006733333,0,6.67e-05,0,6.67e-05,2e-04,0,0.617866667,0.000133333,0.0262,2e-04,6.67e-05,0.015333333,0,0,0,0,0.01,0,6.67e-05,0.010733333,0,0,0,0,0.030666667,0,0,0,0,2e-04,0,0.000133333,0,0.0138
X10283.LS.12.17.2014,2014-12-17,26,0.000933333,0.000133333,4e-04,0.001266667,0.410333333,0,0,0,0.0038,0,4e-04,0,0.000133333,0.005533333,0,0.430666667,0,0.002866667,0.000933333,6.67e-05,0.0112,0,0,0,0,0.019,0,0,0.008666667,0,0,0,0,0.094333333,0,8e-04,6.67e-05,0,0,0,0.0018,0,0.006666667
X10283.LS.1.6.2015,2015-01-06,27,0.002266667,2e-04,6e-04,0.001866667,0.447866667,0,0,0,4e-04,0,6.67e-05,0,6.67e-05,0.0018,0,0.381133333,0,0.007,0.003133333,0,0.0054,0,0,0,0,0.004,6.67e-05,0,0.008333333,0,0,4e-04,0,0.037266667,0,0.000666667,0,0,0,0,0,0,0.097466667
X10283.LS.1.14.2015,2015-01-14,28,0.0032,0,0.001466667,0.002333333,0.314333333,0,0,0,0.0026,0,0,0,6.67e-05,8e-04,0,0.51,0,0.0082,0.000333333,0,0.002533333,0,0,2e-04,0,0.010333333,6.67e-05,0,0.011333333,0,0,0,0,0.022466667,0,0,6.67e-05,6.67e-05,0.000266667,0,0.001466667,0,0.107866667
X10283.LS.1.25.2015,2015-01-25,29,0.0034,0,4e-04,0.003066667,0.2452,0,0,0,0.002466667,0,6.67e-05,0,0,0.000266667,0,0.491066667,6.67e-05,0.0074,0.000866667,6.67e-05,0.003133333,0,0,0,0,0.003866667,0,0,0.0086,0,0,0,0,0.0128,0,6.67e-05,0,0,0.000133333,0,8e-04,0,0.216266667
X10283.LS.2.8.2015,2015-02-08,30,0.002,2e-04,4e-04,0.002733333,0.261266667,0,0,0,0.000866667,0,0,0,0,0.0022,0.000133333,0.620066667,0,0.004266667,0.000266667,0,0.0034,0,0,0,0,0.005666667,0.000133333,0,0.012333333,0,0,0,6.67e-05,0.036733333,6.67e-05,0,0,0,6.67e-05,0,2e-04,0,0.046933333
X10283.LS.2.23.2015,2015-02-23,31,0.002666667,0,0.000133333,0.0044,0.1962,0,0,0,0.001533333,0,0,6.67e-05,0,4e-04,0,0.677066667,6.67e-05,0.014666667,0,0,0.0048,0,0,0,0,0.009333333,0,0,0.007666667,0,0,0,0,0.074933333,0,6.67e-05,6.67e-05,0,6.67e-05,0,6e-04,0,0.005266667
X10283.LS.3.8.2015,2015-03-08,32,0.005933333,0.000466667,0.0022,0.006266667,0.2892,0,0,0,0.000133333,0,0.000133333,0,6.67e-05,0.001066667,0,0.526533333,6.67e-05,0.024666667,0,0,0.001133333,0,0,0,0,0.0108,0,0,0.01,0,0,0,0,0.086666667,0,6.67e-05,0,0,2e-04,0,6.67e-05,0,0.034333333
X10283.LS.3.24.2015,2015-03-24,33,0.0064,4e-04,2e-04,0.004,0.2586,6.67e-05,0,0,8e-04,0,6.67e-05,6.67e-05,2e-04,0.000533333,0,0.564733333,6.67e-05,0.012733333,0.003,6.67e-05,0.002266667,0,0,0,0,0.0046,0.000133333,0,0.0116,0,6.67e-05,0,0,0.008133333,0,0.000533333,0,6.67e-05,0.000466667,0,6.67e-05,0,0.120133333
X10283.LS.4.4.2015,2015-04-04,34,0.004066667,2e-04,0.000266667,0.007733333,0.145866667,0,0,0,0.001,0,6.67e-05,0,6.67e-05,0.000533333,0,0.754666667,0,0.022,0,0.000133333,0.005133333,0,0,0,0,0.0054,0,0,0.009666667,0,0,0,0,0.033266667,0,6.67e-05,6.67e-05,0,0,0,4e-04,0,0.0094
X10283.LS.4.19.2015,2015-04-19,35,0.002666667,0.000666667,2e-04,0.002266667,0.231133333,0,0,0,0.000866667,0,0,0,4e-04,6e-04,0,0.469133333,0,0.006933333,0.012666667,6.67e-05,0.004666667,0,0,0,0,0.002666667,6.67e-05,0,0.009533333,0,0,0,0,0.0696,0,0.002133333,0,0,0.000466667,0,0.001533333,0,0.181733333
X10283.LS.5.3.2015,2015-05-03,36,0.002066667,0.000133333,2e-04,0.009666667,0.189133333,0,0,0,0.001066667,0,0,6.67e-05,6.67e-05,0.000666667,0,0.6736,6.67e-05,0.021733333,0.0012,6.67e-05,0.015266667,0.0012,0,0,0,0.006066667,0,0,0.012,0,0,0,0,0.036,6.67e-05,0,0,0,6.67e-05,0,0.000666667,0,0.028933333
X10283.LS.5.31.2015,2015-05-31,37,0.0018,0.000133333,2e-04,0.001933333,0.237266667,0,0,0,2e-04,0,0.000133333,6.67e-05,0.000133333,0.000266667,6.67e-05,0.581866667,0,0.006266667,4e-04,0,0.0014,0,6.67e-05,0,0,0.0104,6.67e-05,0,0.007466667,0,0,0,0,0.076533333,6.67e-05,6.67e-05,0,6.67e-05,0,0,6.67e-05,0,0.073066667
X10283.LS.6.14.2015,2015-06-14,38,0.005333333,0.003333333,0.001133333,0.0076,0.243866667,0,0,0,2e-04,0,0.001266667,0,0.001266667,0.001666667,0,0.59,6.67e-05,0.021466667,0.0028,6.67e-05,0.001266667,0,0.000266667,0,0,0.005333333,0.000466667,0,0.015133333,0,0,0,0,0.013333333,0,0.000733333,0,0,0.000133333,0,0.0026,0,0.080666667
