	10283.LS.12.28.2011	10283.LS.5.31.2015	10283.LS.2.8.2015	10283.LS.1.19.2014	10283.LS.1.14.2015	10283.LS.3.24.2013	10283.LS.11.6.2012	10283.LS.12.14.2013	10283.LS.1.6.2015	10283.LS.2.23.2015	10283.LS.11.16.2014	10283.LS.6.14.2015	10283.LS.8.22.2014	10283.LS.3.23.2014	10283.LS.2.25.2013	10283.LS.5.3.2015	10283.LS.8.25.2014	10283.LS.11.10.2013	10283.LS.9.3.2013	10283.LS.4.19.2015	10283.LS.1.25.2015	10283.LS.9.28.2014	10283.LS.4.4.2015	10283.LS.12.7.2014	10283.LS.4.29.2013	10283.LS.2.8.2013	10283.LS.5.4.2014	10283.LS.7.27.2014	10283.LS.3.24.2015	10283.LS.1.26.2013	10283.LS.9.24.2013	10283.LS.7.14.2013	10283.LS.2.17.2014	10283.LS.3.8.2015	10283.LS.6.16.2014	10283.LS.4.7.2013	10283.LS.12.17.2014	10283.LS.4.3.2012	10283.LS.8.7.2012
10283.LS.1.25.2015	0.456986031691	0.346893414275	0.326507093732	0.40219118083	0.333918136641	0.408960136283	0.42084763899	0.347546686854	0.349229450264	0.352525034173	0.376653741052	0.351763568726	0.358137629543	0.349380238402	0.402408054311	0.374584815535	0.343589017261	0.409309201145	0.398111708459	0.321025918637	0.0	0.361239206877	0.351714163195	0.338694570285	0.402000014867	0.400542024386	0.326431812597	0.33811383305	0.327959908536	0.424844505108	0.401620415976	0.404232497095	0.337547863111	0.336263403151	0.338364947593	0.410758489508	0.358612968685	0.498452378926	0.4718006995
10283.LS.9.28.2014	0.484237944605	0.381098587708	0.364386815676	0.403747506592	0.384197731252	0.390618747022	0.415659344373	0.352297962864	0.377856427017	0.372337269455	0.337252688959	0.378867621934	0.34321084525	0.346559602103	0.411284154727	0.362705444838	0.358227427802	0.380350416467	0.382263767396	0.371891498603	0.361239206877	0.0	0.351370450662	0.33965901298	0.388818732611	0.405512091566	0.39251054991	0.350383968269	0.387021171996	0.406816763131	0.424618029516	0.390792340823	0.407053975831	0.363518226986	0.363658396323	0.397989333913	0.36746719244	0.469937199975	0.437378514298
10283.LS.4.4.2015	0.476309533533	0.337494565888	0.334381794528	0.39591581839	0.41205244952	0.410926810623	0.387906212915	0.374763427282	0.380856023195	0.321197086142	0.365518594569	0.34623135556	0.361484583389	0.382405583913	0.412853818232	0.34899797081	0.373261783477	0.39993250071	0.378245386282	0.361883529792	0.351714163195	0.351370450662	0.0	0.3370170932	0.383152750604	0.414674278051	0.382991413983	0.367880581956	0.348201236868	0.388367703155	0.429528265674	0.401710619629	0.389066068687	0.349984794446	0.387077008935	0.403991833119	0.358248793069	0.454651027885	0.416146544821
10283.LS.12.7.2014	0.473999401067	0.369774046839	0.345676015628	0.424559144934	0.355350861412	0.41065229356	0.381400373189	0.361045934731	0.358418758561	0.352570304824	0.354728212869	0.352916939349	0.34950176181	0.357226643248	0.400161673916	0.352410514862	0.319109262241	0.407572252175	0.397186464657	0.348598562322	0.338694570285	0.33965901298	0.3370170932	0.0	0.388992170975	0.400644902604	0.362740271512	0.329749646761	0.352579665663	0.396232973497	0.420940291237	0.415408514632	0.388229453823	0.339120120657	0.380540526965	0.4086345154	0.382700563464	0.464649807885	0.418674864008
10283.LS.4.29.2013	0.453303694218	0.401116311564	0.411536368981	0.412158881395	0.394651574546	0.341970805056	0.366858479503	0.378725766513	0.388559388722	0.398680387079	0.396667468139	0.412725626699	0.3749919112	0.415145304968	0.354605135174	0.386648131868	0.4153038852	0.421208375724	0.386620198605	0.41625426075	0.402000014867	0.388818732611	0.383152750604	0.388992170975	0.0	0.358950302916	0.408686301674	0.394910567828	0.416008946397	0.364438179336	0.413671766823	0.354862934646	0.443224347982	0.402314278588	0.416584095653	0.32703021552	0.386381643885	0.44471692608	0.384131118912
10283.LS.2.8.2013	0.435182711137	0.392515198517	0.421271104602	0.398334489149	0.414867230617	0.36000954545	0.363393511824	0.352292452212	0.410285677258	0.421884798973	0.414966524746	0.418112786915	0.414783439559	0.397145550516	0.327924967918	0.404219142866	0.381315246847	0.438030347868	0.413763270419	0.40608993285	0.400542024386	0.405512091566	0.414674278051	0.400644902604	0.358950302916	0.0	0.389827241025	0.39876856452	0.397453263121	0.331498410751	0.413932859218	0.398769505474	0.404634034503	0.40597707473	0.416931028196	0.366267750218	0.437419819296	0.444532672403	0.403481890179
10283.LS.5.4.2014	0.44786180286	0.371056622526	0.366691739752	0.387326620315	0.368056122049	0.412002849578	0.394316701582	0.356801169215	0.342506131563	0.384497141197	0.403438874696	0.373688449748	0.365184776983	0.357274686672	0.36087202281	0.398384180655	0.343458323079	0.42338229671	0.394676699409	0.330495504702	0.326431812597	0.39251054991	0.382991413983	0.362740271512	0.408686301674	0.389827241025	0.0	0.329128285932	0.340164164608	0.417362849742	0.412943465789	0.405236143121	0.32306868886	0.354300735907	0.374371033158	0.418639456453	0.410796303157	0.453875724003	0.44154258026
10283.LS.7.27.2014	0.455219973908	0.348445283744	0.349599059	0.397627337161	0.373617802917	0.403939642667	0.409320641032	0.337272461416	0.334379363708	0.34268253459	0.36908283225	0.357540607715	0.355219647009	0.353024072163	0.373156522062	0.372077158163	0.32015603709	0.430543879225	0.395908934375	0.327817402378	0.33811383305	0.350383968269	0.367880581956	0.329749646761	0.394910567828	0.39876856452	0.329128285932	0.0	0.336048429127	0.386453161988	0.393079480309	0.387590712833	0.333055537614	0.357278918762	0.375942113555	0.412496531728	0.396903921706	0.482557717974	0.432084876762
10283.LS.3.24.2015	0.444587034546	0.342925362333	0.372239545268	0.393903834026	0.380647658111	0.423937637917	0.40388389104	0.372555318628	0.361812486551	0.372048324111	0.401378278966	0.313510970261	0.35308234934	0.388720257027	0.377182388643	0.345185475762	0.320838428038	0.439114729094	0.424555655064	0.326748728757	0.327959908536	0.387021171996	0.348201236868	0.352579665663	0.416008946397	0.397453263121	0.340164164608	0.336048429127	0.0	0.416395885578	0.433832120504	0.439138967968	0.334647671815	0.350194448372	0.381062376207	0.430109695516	0.396277131692	0.484818700164	0.444610916226
10283.LS.1.26.2013	0.452494931436	0.431540304855	0.404953246087	0.426222853856	0.435503153281	0.380575250699	0.348402085268	0.376216086275	0.431598208567	0.384625708828	0.434572776818	0.418269603255	0.414495080132	0.394897712188	0.369852965436	0.402788244916	0.392449487173	0.407633453386	0.411655874731	0.415620944073	0.424844505108	0.406816763131	0.388367703155	0.396232973497	0.364438179336	0.331498410751	0.417362849742	0.386453161988	0.416395885578	0.0	0.428306694996	0.387665622009	0.422889767345	0.418492085018	0.427409005816	0.380111164969	0.447800280194	0.436491479967	0.383290833889
10283.LS.9.24.2013	0.511342903794	0.438551319813	0.427077428195	0.393051465113	0.43913192892	0.407428525774	0.443186255298	0.366672147169	0.432410512554	0.44099236915	0.442074077279	0.443105072989	0.426364777818	0.41343985906	0.422590098275	0.448326691223	0.413884966194	0.373321071954	0.361620756624	0.426554559055	0.401620415976	0.424618029516	0.429528265674	0.420940291237	0.413671766823	0.413932859218	0.412943465789	0.393079480309	0.433832120504	0.428306694996	0.0	0.392161048991	0.415821686288	0.426111702924	0.428975525912	0.434624920771	0.43129454087	0.506034131812	0.46926267845
10283.LS.7.14.2013	0.487715224606	0.428137746064	0.407910274356	0.406506345568	0.437808872257	0.38386869721	0.407374132014	0.383678915841	0.404933463599	0.408269642236	0.393099751482	0.441154157457	0.410789672823	0.408211206481	0.399062328395	0.405754837644	0.410222620961	0.374734502541	0.377635636216	0.425590211907	0.404232497095	0.390792340823	0.401710619629	0.415408514632	0.354862934646	0.398769505474	0.405236143121	0.387590712833	0.439138967968	0.387665622009	0.392161048991	0.0	0.430291886996	0.431958040809	0.417088610268	0.37175687027	0.404941049636	0.475233767544	0.431620078596
10283.LS.2.17.2014	0.479183466413	0.390000017483	0.380641170378	0.380944657469	0.394138733051	0.410866763064	0.449140367867	0.362479829321	0.377295386177	0.413398902571	0.413857512654	0.362492276321	0.384639419435	0.378140891693	0.390750188099	0.403678268175	0.348974894885	0.452829149645	0.438756129887	0.338550357341	0.337547863111	0.407053975831	0.389066068687	0.388229453823	0.443224347982	0.404634034503	0.32306868886	0.333055537614	0.334647671815	0.422889767345	0.415821686288	0.430291886996	0.0	0.407783215081	0.378883621293	0.446477582151	0.42126786606	0.507971279973	0.470582641137
10283.LS.3.8.2015	0.458004050783	0.346774041873	0.354107062212	0.408074131594	0.362096841577	0.393415181419	0.403473715135	0.385196236811	0.359017112879	0.330473609085	0.372882275266	0.355754289806	0.360344859564	0.382804637794	0.399459555861	0.35166242287	0.358799609045	0.410232311623	0.400420391658	0.351971228435	0.336263403151	0.363518226986	0.349984794446	0.339120120657	0.402314278588	0.40597707473	0.354300735907	0.357278918762	0.350194448372	0.418492085018	0.426111702924	0.431958040809	0.407783215081	0.0	0.391649970904	0.415541416606	0.392463627945	0.466702227835	0.439510189757
10283.LS.6.16.2014	0.489747898312	0.374874236277	0.361640794646	0.412022807804	0.38465787541	0.432940628078	0.443410496178	0.37808981897	0.390504894888	0.369059030155	0.392966357773	0.397585604641	0.372655279316	0.344073078845	0.41395187496	0.394623874437	0.380288675109	0.41169732696	0.405898350206	0.379876552922	0.338364947593	0.363658396323	0.387077008935	0.380540526965	0.416584095653	0.416931028196	0.374371033158	0.375942113555	0.381062376207	0.427409005816	0.428975525912	0.417088610268	0.378883621293	0.391649970904	0.0	0.434668096129	0.37893415361	0.51344365252	0.478276797424
10283.LS.4.7.2013	0.470833213111	0.393205813187	0.403534246288	0.418330827452	0.421107716116	0.312792995793	0.378024183017	0.389474795694	0.387952843319	0.430174685845	0.403022896601	0.410965269628	0.419595060439	0.424420085834	0.365789460729	0.404430672689	0.43319350427	0.408708780203	0.387513247045	0.421374592029	0.410758489508	0.397989333913	0.403991833119	0.4086345154	0.32703021552	0.366267750218	0.418639456453	0.412496531728	0.430109695516	0.380111164969	0.434624920771	0.37175687027	0.446477582151	0.415541416606	0.434668096129	0.0	0.393308456304	0.452380534715	0.395837523091
10283.LS.12.17.2014	0.514806562247	0.388480584332	0.377646321047	0.418529822457	0.390538612168	0.390543581265	0.443267979696	0.386327846739	0.369887850178	0.394338386504	0.380370799541	0.394979433603	0.383978923712	0.387760093325	0.444007559869	0.400753339511	0.412167085452	0.382451268322	0.400981265347	0.383927869084	0.358612968685	0.36746719244	0.358248793069	0.382700563464	0.386381643885	0.437419819296	0.410796303157	0.396903921706	0.396277131692	0.447800280194	0.43129454087	0.404941049636	0.42126786606	0.392463627945	0.37893415361	0.393308456304	0.0	0.488917965134	0.460331942114
10283.LS.4.3.2012	0.432889304807	0.471404309308	0.492116696847	0.481987637628	0.515038883072	0.45725711349	0.382125458351	0.47641380749	0.468321301658	0.474561827175	0.459330087861	0.467408340488	0.458181559702	0.477848261326	0.443660936348	0.468399003925	0.465138811325	0.468960767862	0.448072545826	0.495396135147	0.498452378926	0.469937199975	0.454651027885	0.464649807885	0.44471692608	0.444532672403	0.453875724003	0.482557717974	0.484818700164	0.436491479967	0.506034131812	0.475233767544	0.507971279973	0.466702227835	0.51344365252	0.452380534715	0.488917965134	0.0	0.381398205891
10283.LS.8.7.2012	0.449607803392	0.458571201789	0.440180270186	0.463604938201	0.456960254125	0.416225046424	0.334075972638	0.441509806767	0.452181383982	0.418079233602	0.422579734584	0.4434010021	0.435231861132	0.428553300323	0.401783124301	0.407007344228	0.430454334005	0.459119569464	0.430382278895	0.447230047764	0.4718006995	0.437378514298	0.416146544821	0.418674864008	0.384131118912	0.403481890179	0.44154258026	0.432084876762	0.444610916226	0.383290833889	0.46926267845	0.431620078596	0.470582641137	0.439510189757	0.478276797424	0.395837523091	0.460331942114	0.381398205891	0.0
